diary_no,Judgement_type,case_no,pet,res,pet_adv,res_adv,bench,judgement_by,judgment_dates,temp_link
11298-2019,J,C.A. No.-004578-004578 - 2021,NORTH DELHI MUNICIPAL CORPORATION,RAM NARESH SHARMA,PRAVEEN SWARUP,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE HRISHIKESH ROY,03-08-2021,supremecourt/2019/11298/11298_2019_37_1501_28989_Judgement_03-Aug-2021.pdf
11340-2018,J,Crl.A. No.-000526-000526 - 2021,SUNIL KUMAR @ SUDHIR KUMAR,THE STATE OF UTTAR PRADESH  THROUGH PRINCIPAL SECRETARY HOME DEPARTMENT,PAI AMIT,,"HON'BLE MR. JUSTICE DINESH MAHESHWARI, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE MR. JUSTICE DINESH MAHESHWARI,25-05-2021,supremecourt/2018/11340/11340_2018_40_21_28028_Judgement_25-May-2021.pdf
11344-2019,J,C.A. No.-004575-004575 - 2021,THE STATE OF UTTAR PRADESH,UTTAM SINGH,KAMLENDRA MISHRA,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,03-08-2021,supremecourt/2019/11344/11344_2019_37_9_29008_Judgement_03-Aug-2021.pdf
11391-2021,J,Crl.A. No.-000586-000586 - 2021,MAMTA NAIR,THE STATE OF RAJASTHAN,NUPUR KUMAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE THE CHIEF JUSTICE,12-07-2021,supremecourt/2021/11391/11391_2021_31_1501_28387_Judgement_12-Jul-2021.pdf
11440-2020,J,C.A. No.-006649-006650 - 2021,RAMESH KUMAR,THE STATE OF HIMACHAL PRADESH,TUSHAR BAKSHI,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MR. JUSTICE M.R. SHAH,13-11-2021,supremecourt/2020/11440/11440_2020_43_1502_31226_Judgement_13-Nov-2021.pdf
11474-2021,J,C.A. No.-001767-001767 - 2021,THE CHIEF ELECTION COMMISSIONER OF INDIA,M.R. VIJAYABHASKAR,AMIT SHARMA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,06-05-2021,supremecourt/2021/11474/11474_2021_35_1502_27915_Judgement_06-May-2021.pdf
11510-2021,J,Crl.A. No.-000697-000697 - 2021,THE STATE OF KERALA,K.AJITH,G. PRAKASH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,28-07-2021,supremecourt/2021/11510/11510_2021_35_1501_28812_Judgement_28-Jul-2021.pdf
11514-2021,J,W.P.(C) No.-000539 - 2021,GAURAV KUMAR BANSAL,UNION OF INDIA,PETITIONER-IN-PERSON,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE M.R. SHAH,30-06-2021,supremecourt/2021/11514/11514_2021_36_1503_28108_Judgement_30-Jun-2021.pdf
11519-2020,J,Crl.A. No.-000903-000903 - 2021,GANESAN,STATE REP. BY STATION HOUSE OFFICER,G.SIVABALAMURUGAN,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,29-10-2021,supremecourt/2020/11519/11519_2020_43_1502_30982_Judgement_29-Oct-2021.pdf
11553-2019,J,C.A. No.-007655-007656 - 2021,THE SECRETARY TO GOVERNMENT DEPARTMENT OF COOPERATION FOOD AND CONSUMER PROTECTION,A. KINGSTON DAVID,D.KUMANAN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA",,11-12-2021,supremecourt/2019/11553/11553_2019_34_15_32022_Order_11-Dec-2021.pdf
11555-2020,J,C.A. No.-005121-005121 - 2021,THE ASSISTANT COMMISSIONER OF STATE TAX,M/S COMMERCIAL STEEL COMPANY,VENKAT PALWAI LAW ASSOCIATES,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE VIKRAM NATH, HON'BLE MS. JUSTICE HIMA KOHLI",,03-09-2021,supremecourt/2020/11555/11555_2020_34_22_29760_Order_03-Sep-2021.pdf
11690-2020,J,C.A. No.-007781-007781 - 2021,SADHANA SINGH DANGI,PINKI ASATI,MAYANK PANDEY,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,16-12-2021,supremecourt/2020/11690/11690_2020_2_8_32153_Judgement_16-Dec-2021.pdf
11706-2020,J,SMW(C) No.-000006 - 2020,IN RE PROBLEMS AND MISERIES OF MIGRANT LABOURERS,,BY COURTS MOTION,,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE ASHOK BHUSHAN,29-06-2021,supremecourt/2020/11706/11706_2020_36_1501_28166_Judgement_29-Jun-2021.pdf
11745-2020,J,C.A. No.-004035-004037 - 2020,THE NATIONAL HIGHWAYS AUTHORITY OF INDIA,PANDARINATHAN GOVINDARAJULU,SANTOSH KUMAR - I,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE VINEET SARAN",HON'BLE MR. JUSTICE L. NAGESWARA RAO,19-01-2021,supremecourt/2020/11745/11745_2020_31_1501_25558_Judgement_19-Jan-2021.pdf
11753-2018,J,C.A. No.-004981-004981 - 2021,UNION OF INDIA,M/S. PUNA HINDA,,,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MR. JUSTICE HEMANT GUPTA,06-09-2021,supremecourt/2018/11753/11753_2018_41_1502_29828_Judgement_06-Sep-2021.pdf
11832-2020,J,Crl.A. No.-000320-000320 - 2021,NAVEEN SINGH,THE STATE OF UTTAR PRADESH,KANHAIYA SINGHAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,15-03-2021,supremecourt/2020/11832/11832_2020_36_1502_26964_Judgement_15-Mar-2021.pdf
11876-2019,J,Crl.A. No.-001181-001181 - 2019,GOUTAM JOARDAR,THE STATE OF WEST BENGAL,SHEKHAR KUMAR,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT, HON'BLE MS. JUSTICE BELA M. TRIVEDI",HON'BLE THE CHIEF JUSTICE,07-10-2021,supremecourt/2019/11876/11876_2019_2_101_30675_Judgement_07-Oct-2021.pdf
11913-2015,J,Crl.A. No.-000393-000393 - 2021,RAM KISHAN,THE STATE OF RAJASTHAN,RISHI MATOLIYA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE VINEET SARAN",HON'BLE MR. JUSTICE L. NAGESWARA RAO,09-04-2021,supremecourt/2015/11913/11913_2015_38_1504_27432_Judgement_09-Apr-2021.pdf
11974-2019,J,C.A. No.-001510-001510 - 2021,V. SREENIVASA REDDY,B. L. RATHNAMMA,E. C. AGRAWALA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE A.S. BOPANNA, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE THE CHIEF JUSTICE,08-04-2021,supremecourt/2019/11974/11974_2019_31_1501_27493_Judgement_08-Apr-2021.pdf
11979-2018,J,C.A. No.-007041-007041 - 2021,SALUJA CONSTRUCTION COMPANY,NORTHERN COALFIELDS LIMITED,RAJAN K. CHOURASIA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE SANJIV KHANNA",,25-11-2021,supremecourt/2018/11979/11979_2018_13_3_31572_Order_25-Nov-2021.pdf
11980-2020,J,T.P.(C) No.-000833 - 2020,RUCHIKA SWAIN,SANDEEP KUMAR MALLICK,KEDAR NATH TRIPATHY,,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,04-10-2021,supremecourt/2020/11980/11980_2020_32_2_30535_Judgement_04-Oct-2021.pdf
11992-2021,J,Crl.A. No.-001089-001089 - 2021,SHRI MAHADEV MEENA,PRAVEEN RATHORE,GP. CAPT. KARAN SINGH BHATI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE THE CHIEF JUSTICE,27-09-2021,supremecourt/2021/11992/11992_2021_34_1501_30324_Judgement_27-Sep-2021.pdf
12097-2020,J,C.A. No.-002320-002320 - 2021,THE STATE OF UTTAR PRADESH,MANOJ KUMAR SHARMA,VISHNU SHANKAR JAIN,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HEMANT GUPTA",HON'BLE MR. JUSTICE HEMANT GUPTA,09-07-2021,supremecourt/2020/12097/12097_2020_37_1502_28343_Judgement_09-Jul-2021.pdf
12153-2009,J,C.A. No.-003875-003876 - 2009,RAMESH KUMAR,BHATINDA INTEGARATED COOPERATIVE COTTON SPINNING MILL,NIKHIL GOEL,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE M.R. SHAH,13-09-2021,supremecourt/2009/12153/12153_2009_42_1501_29965_Judgement_13-Sep-2021.pdf
12165-2021,J,W.P.(C) No.-000696 - 2021,RAJINDER GOEL,HIGH COURT OF PUNJAB AND HARYANA,ADITYA SONI,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE THE CHIEF JUSTICE,02-08-2021,supremecourt/2021/12165/12165_2021_33_1502_28957_Judgement_02-Aug-2021.pdf
12177-2021,J,C.A. No.-001792 - 2021,K.N RAJAKUMAR,V NAGARAJAN,BALAJI SRINIVASAN,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MR. JUSTICE L. NAGESWARA RAO,15-09-2021,supremecourt/2021/12177/12177_2021_5_1502_30153_Judgement_15-Sep-2021.pdf
12200-2020,J,C.A. No.-001659-001660 - 2021,RAHUL S SHAH,JINENDRAKUMAR GANDHI,SHAILESH MADIYAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,22-04-2021,supremecourt/2020/12200/12200_2020_31_301_27757_Judgement_22-Apr-2021.pdf
12217-2011,J,C.A. No.-003905-003905 - 2011,JIGYA YADAV THRU HER FATHER,C.B.S.E. (CENTRAL BOARD OF SECONDARY EDUCATION) .,SANJAY JAIN,TARA CHANDRA SHARMA,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE DINESH MAHESHWARI",HON'BLE MR. JUSTICE A.M. KHANWILKAR,03-06-2021,supremecourt/2011/12217/12217_2011_34_1501_28052_Judgement_03-Jun-2021.pdf
12226-2021,J,C.A. No.-005060-005060 - 2021,SANJAY RAMDAS PATIL,SANJAY,BRAJ KISHORE MISHRA,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,01-09-2021,supremecourt/2021/12226/12226_2021_35_1504_29713_Judgement_01-Sep-2021.pdf
12228-2021,J,SLP(Crl) No.-003869 - 2021,AP MAHESH COOPERATIVE URBAN BANK SHAREHOLDERS WELFARE ASSOCIATION,RAMESH KUMAR BUNG,MALAK MANISH BHATT,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE V. RAMASUBRAMANIAN",HON'BLE MS. JUSTICE INDIRA BANERJEE,20-07-2021,supremecourt/2021/12228/12228_2021_40_1501_28636_Judgement_20-Jul-2021.pdf
12242-2013,J,C.A. No.-007550-007553 - 2021,SHRI K. JAYARAM,BANGALORE DEVELOPMENT AUTHORITY REP BY ITS COMMISSIONER,E. C. VIDYA SAGAR,,"HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE S. ABDUL NAZEER,08-12-2021,supremecourt/2013/12242/12242_2013_7_1501_31926_Judgement_08-Dec-2021.pdf
12246-2021,J,C.A. No.-004862-004863 - 2021,UFLEX LTD.,THE GOVERNMENT OF TAMIL NADU,ABHISHEK SINGH,,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE M.M. SUNDRESH",HON'BLE MR. JUSTICE SANJAY KISHAN KAUL,17-09-2021,supremecourt/2021/12246/12246_2021_36_1501_30124_Judgement_17-Sep-2021.pdf
12251-2012,J,C.A. No.-001537-001537 - 2016,R.JANKIAMMAL,S.K.KUMARASWAMY (D) THR.LRS.,VIKAS MEHTA,SHOBHA RAMAMOORTHY,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE VINEET SARAN, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE ASHOK BHUSHAN,30-06-2021,supremecourt/2012/12251/12251_2012_36_1501_28108_Judgement_30-Jun-2021.pdf
12262-2013,J,C.A. No.-007706-007706 - 2021,APMC YASHWANTHAPURA THROUGH ITS SECRETARY,M/S SELVA FOODS THROUGH ITS MANAGING PARTNER,NANDA KISHORE,,"HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE HRISHIKESH ROY",HON'BLE MR. JUSTICE R. SUBHASH REDDY,14-12-2021,supremecourt/2013/12262/12262_2013_12_1501_32116_Judgement_14-Dec-2021.pdf
12394-2017,J,Crl.A. No.-001256-001256 - 2017,HARI OM @ HERO,STATE OF U.P.,SHANKAR DIVATE,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,05-01-2021,supremecourt/2017/12394/12394_2017_33_1501_25288_Judgement_05-Jan-2021.pdf
12408-2020,J,Crl.A. No.-000375-000375 - 2021,GURDEV SINGH,THE STATE OF PUNJAB,SIDDHARTH MITTAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,06-04-2021,supremecourt/2020/12408/12408_2020_36_1501_27321_Judgement_06-Apr-2021.pdf
12489-2019,J,T.P.(C) No.-000759 - 2019,BAGDI BAI @ BINDU,LAXMAN,RAMESHWAR PRASAD GOYAL,,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,HON'BLE MR. JUSTICE S. RAVINDRA BHAT,04-10-2021,supremecourt/2019/12489/12489_2019_32_32_30535_Judgement_04-Oct-2021.pdf
12492-2020,J,C.A. No.-000596-000596 - 2021,LALITHA R NATH,KANNUR MEDICAL COLLEGE,LIZ MATHEW,,"HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE SANJIV KHANNA",HON'BLE MR. JUSTICE SANJIV KHANNA,18-02-2021,supremecourt/2020/12492/12492_2020_41_1501_26189_Judgement_18-Feb-2021.pdf
12555-2020,J,C.A. No.-000104-000104 - 2021,GAJANAN BABULAL BANSODE,THE STATE OF MAHARASHTRA,ANAND DILIP LANDGE,,"HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MS. JUSTICE INDU MALHOTRA,05-02-2021,supremecourt/2020/12555/12555_2020_42_1501_25951_Judgement_05-Feb-2021.pdf
12603-2019,J,C.A. No.-000317-000317 - 2021,UNITECH LIMIED,TELANGANA STATE INDUSTRIAL INFRASTRUCTURE CORPORATION (TSIIC),,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,17-02-2021,supremecourt/2019/12603/12603_2019_36_1501_26249_Judgement_17-Feb-2021.pdf
12662-2020,J,Crl.A. No.-000421-000421 - 2021,BOOTA SINGH,THE STATE OF HARYANA,RAJNISH KUMAR JHA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE K.M. JOSEPH",HON'BLE THE CHIEF JUSTICE,16-04-2021,supremecourt/2020/12662/12662_2020_34_1501_27585_Judgement_16-Apr-2021.pdf
12666-2004,J,C.A. No.-006915-006915 - 2021,ASSA SINGH (D) BY LRS.,SHANTI PARSHAD (D) BY LRS. .,DEBASIS MISRA,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE PAMIDIGHANTAM SRI NARASIMHA",HON'BLE MR. JUSTICE K.M. JOSEPH,17-11-2021,supremecourt/2004/12666/12666_2004_10_1501_31361_Judgement_17-Nov-2021.pdf
12681-2010,J,C.A. No.-005124-005124 - 2013,SANTOSH KUMAR,ASHOK CHAND,VISHWA PAL SINGH,PRATIBHA JAIN,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MR. JUSTICE ANIRUDDHA BOSE",HON'BLE THE CHIEF JUSTICE,02-02-2021,supremecourt/2010/12681/12681_2010_32_102_25801_Judgement_02-Feb-2021.pdf
12697-2021,J,C.A. No.-001843 - 2021,MAHARASHTRA STATE ELECTRICITY DISTRIBUTION COMPANY LIMITED,MAHARASHTRA ELECTRICITY REGULATORY COMMISSION,D.S.K. LEGAL,,"HON'BLE MS. JUSTICE INDIRA BANERJEE, HON'BLE MR. JUSTICE J.K. MAHESHWARI",HON'BLE MS. JUSTICE INDIRA BANERJEE,08-10-2021,supremecourt/2021/12697/12697_2021_38_1501_30696_Judgement_08-Oct-2021.pdf
12755-2020,J,W.P.(Crl.) No.-000154 - 2020,VINOD DUA,UNION OF INDIA,NITIN SALUJA,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE VINEET SARAN",HON'BLE THE CHIEF JUSTICE,03-06-2021,supremecourt/2020/12755/12755_2020_33_1501_28058_Judgement_03-Jun-2021.pdf
12866-2021,J,Crl.A. No.-001240-001240 - 2021,RISHIPAL SINGH SOLANKI,THE STATE OF UTTAR PRADESH,RAKESH MISHRA,,"HON'BLE MR. JUSTICE M.R. SHAH, HON'BLE MRS. JUSTICE B.V. NAGARATHNA",HON'BLE MRS. JUSTICE B.V. NAGARATHNA,18-11-2021,supremecourt/2021/12866/12866_2021_43_1505_31402_Judgement_18-Nov-2021.pdf
12894-2019,J,C.A. No.-005823-005824 - 2021,PUNJAB STATE POWER CORPORATION LTD.,EMTA COAL LIMITED,KARAN BHARIHOKE,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE B.R. GAVAI,21-09-2021,supremecourt/2019/12894/12894_2019_35_1502_30237_Judgement_21-Sep-2021.pdf
12929-2009,J,C.A. No.-002760-002760 - 2010,INDIAN BANK,MAHAVEER KHARIWAL,MADHU SIKRI,VENKATESWARA RAO ANUMOLU,"HON'BLE MR. JUSTICE ASHOK BHUSHAN, HON'BLE MR. JUSTICE R. SUBHASH REDDY, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE ASHOK BHUSHAN,22-01-2021,supremecourt/2009/12929/12929_2009_37_1501_25592_Judgement_22-Jan-2021.pdf
12951-2020,J,C.A. No.-000793-000793 - 2021,"THE COMMISSIONER, COMMERCIAL TAX, U.P. LUCKNOW",S/S RUJHAN STUDIO,BHAKTI VARDHAN SINGH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE THE CHIEF JUSTICE,02-03-2021,supremecourt/2020/12951/12951_2020_36_3_26641_Judgement_02-Mar-2021.pdf
12953-2021,J,T.P.(C) No.-001027 - 2021,ABHILASHA GUPTA,HARIMOHAN GUPTA,MITHILESH KUMAR SINGH,,HON'BLE MS. JUSTICE HIMA KOHLI,HON'BLE MS. JUSTICE HIMA KOHLI,24-09-2021,supremecourt/2021/12953/12953_2021_35_24_30307_Judgement_24-Sep-2021.pdf
12967-2020,J,C.A. No.-000412-000412 - 2021,SWATI ULHAS KERKAR,SANJAY WALAVALKAR,ANSHULA VIJAY KUMAR GROVER,,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MS. JUSTICE INDU MALHOTRA, HON'BLE MR. JUSTICE AJAY RASTOGI",HON'BLE MR. JUSTICE A.M. KHANWILKAR,10-02-2021,supremecourt/2020/12967/12967_2020_35_1501_26073_Judgement_10-Feb-2021.pdf
12975-2012,J,C.A. No.-006619-006619 - 2014,UNION OF INDIA,ONKAR NATH DHAR,AMRISH KUMAR,YOGINDER HANDOO,"HON'BLE MR. JUSTICE HEMANT GUPTA, HON'BLE MR. JUSTICE A.S. BOPANNA",HON'BLE MR. JUSTICE HEMANT GUPTA,05-08-2021,supremecourt/2012/12975/12975_2012_43_102_29048_Judgement_05-Aug-2021.pdf
12996-2008,J,C.A. No.-000202-000202 - 2012,GOVERNMENT OF KERALA,MOTHER SUPERIOR ADORATION CONVENT,C. K. SASI,M. P. VINOD,"HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN, HON'BLE MR. JUSTICE B.R. GAVAI",HON'BLE MR. JUSTICE ROHINTON FALI NARIMAN,01-03-2021,supremecourt/2008/12996/12996_2008_33_1502_26551_Judgement_01-Mar-2021.pdf
13067-2008,J,CONMT.PET.(C) No.-000092-000092 - 2008,RAMA NARANG,RAMESH NARANG,ABHINAV MUKERJI,LAWYER S KNIT & CO,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE B.R. GAVAI, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE A.M. KHANWILKAR,19-01-2021,supremecourt/2008/13067/13067_2008_35_1501_25460_Judgement_19-Jan-2021.pdf
13088-2020,J,C.A. No.-002734 - 2020,LAXMI PAT SURANA,UNION BANK OF INDIA,ASHUTOSH DUBEY,,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE DINESH MAHESHWARI",HON'BLE MR. JUSTICE A.M. KHANWILKAR,26-03-2021,supremecourt/2020/13088/13088_2020_34_1501_27231_Judgement_26-Mar-2021.pdf
13113-2021,J,Crl.A. No.-000875-000875 - 2021,MANJEET SINGH,THE STATE OF HARYANA,AJAY PAL,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE M.R. SHAH",HON'BLE MR. JUSTICE M.R. SHAH,24-08-2021,supremecourt/2021/13113/13113_2021_34_1503_29489_Judgement_24-Aug-2021.pdf
13131-2012,J,C.A. No.-002049-002049 - 2013,UNION OF INDIA,S. NARASIMHULU NAIDU (DEAD THROUGH LRS.),ARVIND KUMAR SHARMA,ANIRUDDHA P. MAYEE,"HON'BLE MR. JUSTICE SANJAY KISHAN KAUL, HON'BLE MR. JUSTICE HEMANT GUPTA",HON'BLE MR. JUSTICE HEMANT GUPTA,27-08-2021,supremecourt/2012/13131/13131_2012_35_1501_29597_Judgement_27-Aug-2021.pdf
13138-2020,J,Crl.A. No.-000175-000175 - 2021,RAM VIJAY SINGH,STATE OF U.P.,PRANAV SACHDEVA,,HON'BLE MR. JUSTICE HEMANT GUPTA,HON'BLE MR. JUSTICE HEMANT GUPTA,25-02-2021,supremecourt/2020/13138/13138_2020_42_1501_26567_Judgement_25-Feb-2021.pdf
13165-2014,J,C.A. No.-004960-004960 - 2021,COMMISSIONER OF POLICE,RAJ KUMAR,D. S. MAHRA,,"HON'BLE MR. JUSTICE K.M. JOSEPH, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE MR. JUSTICE S. RAVINDRA BHAT,25-08-2021,supremecourt/2014/13165/13165_2014_40_1501_29595_Judgement_25-Aug-2021.pdf
13271-2021,J,C.A. No.-006961-006961 - 2021,M/S SUZLON ENERGY LTD.,JAYANTHI,A. LAKSHMINARAYANAN,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,18-11-2021,supremecourt/2021/13271/13271_2021_32_24_31408_Judgement_18-Nov-2021.pdf
13309-2021,J,Crl.A. No.-001236-001236 - 2021,KAVITHA LANKESH,THE STATE OF KARNATAKA,APARNA BHAT,,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE DINESH MAHESHWARI, HON'BLE MR. JUSTICE C.T. RAVIKUMAR",HON'BLE MR. JUSTICE A.M. KHANWILKAR,21-10-2021,supremecourt/2021/13309/13309_2021_3_1501_30790_Judgement_21-Oct-2021.pdf
13364-2021,J,Crl.A. No.-001080-001080 - 2021,NISHA,THE STATE OF MADHYA PRADESH,SHASHANK SINGH,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE S. RAVINDRA BHAT",HON'BLE THE CHIEF JUSTICE,24-09-2021,supremecourt/2021/13364/13364_2021_32_18_30284_Judgement_24-Sep-2021.pdf
13439-2020,J,ARBIT.PETITON No.-000017 - 2020,DLF HOME DEVELOPERS LIMITED,RAJAPURA HOMES PRIVATE LIMITED,DUA ASSOCIATES,,"HON'BLE THE CHIEF JUSTICE, HON'BLE MR. JUSTICE SURYA KANT, HON'BLE MS. JUSTICE HIMA KOHLI",HON'BLE MR. JUSTICE SURYA KANT,22-09-2021,supremecourt/2020/13439/13439_2020_1_1501_30216_Judgement_22-Sep-2021.pdf
13459-2020,J,C.A. No.-000142-000142 - 2021,THE STATE OF UTTARAKHAND,SURESHWATI,RAJIV NANDA,,"HON'BLE MR. JUSTICE L. NAGESWARA RAO, HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MS. JUSTICE INDU MALHOTRA",HON'BLE MS. JUSTICE INDU MALHOTRA,20-01-2021,supremecourt/2020/13459/13459_2020_38_1501_25605_Judgement_20-Jan-2021.pdf
13465-2020,J,C.A. No.-006520-006520 - 2021,UNION OF INDIA THROUGH ITS SECRETARY,BHARTI AIRTEL LTD.,MUKESH KUMAR MARORIA,,"HON'BLE MR. JUSTICE A.M. KHANWILKAR, HON'BLE MR. JUSTICE DINESH MAHESHWARI, HON'BLE MR. JUSTICE C.T. RAVIKUMAR",HON'BLE MR. JUSTICE A.M. KHANWILKAR,28-10-2021,supremecourt/2020/13465/13465_2020_3_1502_30887_Judgement_28-Oct-2021.pdf
13481-2007,J,C.A. No.-007031-007031 - 2021,DEVENDER BHASKAR,STATE OF HARYANA .,VARINDER KUMAR SHARMA,BALBIR SINGH GUPTA,"HON'BLE MR. JUSTICE S. ABDUL NAZEER, HON'BLE MR. JUSTICE KRISHNA MURARI",HON'BLE MR. JUSTICE S. ABDUL NAZEER,24-11-2021,supremecourt/2007/13481/13481_2007_7_1501_31460_Judgement_24-Nov-2021.pdf
